cryoem_fragment	cryoem_source	cryoem_start	cryoem_end	cryoem_identity	cryoem_length	cryoem_bases_trimmed	gtf_rRNA_id	gtf_gene_id	gtf_start	gtf_end	overlap_length	overlap_percent	molecule
LSU-24	Shikha2025	1913	1940	89.3	28	19	RNA23t_F	RNA23t	1909	1970	28	100.0	molecule2_JEATVDKpUB*
LSU-24	Shikha2025	1913	1940	89.3	28	19	RNA23t_1	RNA23t	1913	1940	28	100.0	molecule2_JEATVDKpUB*
LSU-24	Shikha2025	1913	1940	89.3	28	19	RNA23t_2	RNA23t	1920	1963	21	75.0	molecule2_JEATVDKpUB*
LSU-25	Shikha2025	1403	1447	100.0	45	5	RNA29	RNA29	1403	1447	45	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-26	Shikha2025	575	599	96.0	25	3	RNA16	RNA16	575	599	25	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
LSU-27	Shikha2025	1212	1404	93.3	193	12	LSUFG	LSUFG	1212	1417	193	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
LSU-28	Shikha2025	1533	1617	90.6	85	2	RNA10_F	RNA10	1531	1617	85	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-28	Shikha2025	1533	1617	90.6	85	2	RNA10_1	RNA10	1531	1565	33	38.82352941176471	molecule1_SR*Fp*NAPIKpKO*
LSU-28	Shikha2025	1533	1617	90.6	85	2	RNA10_2	RNA10	1531	1561	29	34.11764705882353	molecule1_SR*Fp*NAPIKpKO*
LSU-3	Shikha2025	275	290	100.0	16	15	RNA39	RNA39	275	292	16	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-3	Shikha2025	785	799	93.3	15	15	RNA40	RNA40	772	809	15	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
LSU-31	Shikha2025	197	231	97.1	35	14	RNA14	RNA14	196	231	35	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
LSU-4	Shikha2025	870	948	98.7	79	12	RNA7	RNA7	869	948	79	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-5	Shikha2025	1920	1963	100.0	44	0	RNA23t_F	RNA23t	1909	1970	44	100.0	molecule2_JEATVDKpUB*
LSU-5	Shikha2025	1920	1963	100.0	44	0	RNA23t_2	RNA23t	1920	1963	44	100.0	molecule2_JEATVDKpUB*
LSU-5	Shikha2025	1920	1963	100.0	44	0	RNA23t_1	RNA23t	1913	1940	21	47.72727272727273	molecule2_JEATVDKpUB*
LSU-6	Shikha2025	1608	1634	100.0	27	2	RNA15_F	RNA15	1606	1634	27	100.0	molecule2_JEATVDKpUB*
LSU-6	Shikha2025	1608	1634	100.0	27	2	RNA15_1	RNA15	1612	1632	21	77.77777777777779	molecule2_JEATVDKpUB*
LSU-7	Shikha2025	712	795	97.6	84	2	RNA37/38_F	RNA37/38	683	795	84	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-7	Shikha2025	712	795	97.6	84	2	RNA38	RNA37/38	698	795	84	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-7	Shikha2025	712	795	97.6	84	2	RNA37	RNA37/38	712	795	84	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-8	Shikha2025	1026	1063	94.7	38	0	SSUF_F	SSUF	1026	1080	38	100.0	molecule1_SR*Fp*NAPIKpKO*
LSU-8	Shikha2025	1026	1063	94.7	38	0	SSUF_2	SSUF	1026	1058	33	86.8421052631579	molecule1_SR*Fp*NAPIKpKO*
LSU-8	Shikha2025	1026	1063	94.7	38	0	SSUF_1	SSUF	1051	1080	13	34.21052631578947	molecule1_SR*Fp*NAPIKpKO*
LSU-9	Shikha2025	441	496	100.0	56	3	RNA6	RNA6	438	496	56	100.0	molecule1_SR*Fp*NAPIKpKO*
LSUA	Wang2024	1634	1807	100.0	174	6	LSUA	LSUA	1634	1810	174	100.0	molecule2_JEATVDKpUB*
LSUB	Wang2024	1210	1235	100.0	26	5	LSUB	LSUB	1210	1235	26	100.0	molecule2_JEATVDKpUB*
LSUC	Wang2024	175	195	100.0	21	5	LSUC	LSUC	175	195	21	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
LSUD/E	Wang2024	236	515	98.6	280	3	LSUDE	LSUDE	234	515	280	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
LSUF/G	Wang2024	1217	1417	96.5	201	0	LSUFG	LSUFG	1212	1417	201	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA1	Wang2024	1084	1177	100.0	94	0	RNA1	RNA1	1084	1180	94	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA10	Wang2024	1535	1616	100.0	82	6	RNA10_F	RNA10	1531	1617	82	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA10	Wang2024	1535	1616	100.0	82	6	RNA10_1	RNA10	1531	1565	31	37.80487804878049	molecule1_SR*Fp*NAPIKpKO*
RNA10	Wang2024	1535	1616	100.0	82	6	RNA10_2	RNA10	1531	1561	27	32.926829268292686	molecule1_SR*Fp*NAPIKpKO*
RNA11	Wang2024	520	569	100.0	50	19	RNA11_F	RNA11	517	574	50	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA11	Wang2024	520	569	100.0	50	19	RNA11_1	RNA11	517	556	37	74.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA11	Wang2024	520	569	100.0	50	19	RNA11_2	RNA11	556	574	14	28.000000000000004	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA13	Wang2024	1578	1604	100.0	27	0	RNA13	RNA13	1573	1606	27	100.0	molecule2_JEATVDKpUB*
RNA14	Wang2024	197	231	100.0	35	15	RNA14	RNA14	196	231	35	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA15	Wang2024	1608	1632	100.0	25	0	RNA15_F	RNA15	1606	1634	25	100.0	molecule2_JEATVDKpUB*
RNA15	Wang2024	1608	1632	100.0	25	0	RNA15_1	RNA15	1612	1632	21	84.0	molecule2_JEATVDKpUB*
RNA16	Wang2024	575	598	100.0	24	3	RNA16	RNA16	575	599	24	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA17	Wang2024	1236	1276	100.0	41	0	RNA17	RNA17	1236	1276	41	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA19	Wang2024	79	104	100.0	26	1	RNA19	RNA19	74	107	26	100.0	molecule2_JEATVDKpUB*
RNA2	Wang2024	1476	1538	100.0	63	2	RNA2	RNA2	1487	1538	52	82.53968253968253	molecule2_JEATVDKpUB*
RNA23t	Wang2024	1920	1963	100.0	44	0	RNA23t_F	RNA23t	1909	1970	44	100.0	molecule2_JEATVDKpUB*
RNA23t	Wang2024	1920	1963	100.0	44	0	RNA23t_2	RNA23t	1920	1963	44	100.0	molecule2_JEATVDKpUB*
RNA23t	Wang2024	1920	1963	100.0	44	0	RNA23t_1	RNA23t	1913	1940	21	47.72727272727273	molecule2_JEATVDKpUB*
RNA29	Wang2024	1406	1447	100.0	42	8	RNA29	RNA29	1403	1447	42	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA3	Wang2024	184	274	100.0	91	0	RNA3	RNA3	184	274	91	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA30	Wang2024	1420	1438	100.0	19	0	RNA30	RNA30	1418	1448	19	100.0	molecule2_JEATVDKpUB*
RNA31	Wang2024	387	421	100.0	35	1	RNA31_F	RNA31	362	426	35	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA31	Wang2024	387	421	100.0	35	1	RNA31_1	RNA31	388	426	34	97.14285714285714	molecule1_SR*Fp*NAPIKpKO*
RNA32	Wang2024	42	57	100.0	16	0	RNA32_F	RNA32	19	52	11	68.75	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA32	Wang2024	42	57	100.0	16	0	RNA32_1	RNA32	41	52	11	68.75	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA32	Wang2024	785	800	100.0	16	0	RNA37/38_F	RNA37/38	683	795	11	68.75	molecule1_SR*Fp*NAPIKpKO*
RNA32	Wang2024	785	800	100.0	16	0	RNA38	RNA37/38	698	795	11	68.75	molecule1_SR*Fp*NAPIKpKO*
RNA32	Wang2024	785	800	100.0	16	0	RNA37	RNA37/38	712	795	11	68.75	molecule1_SR*Fp*NAPIKpKO*
RNA33	Wang2024	62	118	100.0	57	1	RNA33_F	RNA33	55	125	57	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA33	Wang2024	62	118	100.0	57	1	RNA33_1	RNA33	55	78	17	29.82456140350877	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA33	Wang2024	62	118	100.0	57	1	RNA33_2	RNA33	103	125	16	28.07017543859649	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA33	Wang2024	805	861	100.0	57	1	RNA33_F	RNA33	798	868	57	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA33	Wang2024	805	861	100.0	57	1	RNA33_1	RNA33	798	821	17	29.82456140350877	molecule1_SR*Fp*NAPIKpKO*
RNA33	Wang2024	805	861	100.0	57	1	RNA33_2	RNA33	846	868	16	28.07017543859649	molecule1_SR*Fp*NAPIKpKO*
RNA35	Wang2024	1451	1477	100.0	27	0	RNA35	RNA35	1451	1468	18	66.66666666666666	molecule2_JEATVDKpUB*
RNA36	Wang2024	1575	1605	100.0	31	2	RNA36	RNA36	1588	1619	18	58.06451612903226	molecule1_SR*Fp*NAPIKpKO*
RNA36	Wang2024	839	867	100.0	29	2	RNA36	RNA36	825	856	18	62.06896551724138	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA37	Wang2024	716	773	100.0	58	4	RNA37/38_F	RNA37/38	683	795	58	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA37	Wang2024	716	773	100.0	58	4	RNA38	RNA37/38	698	795	58	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA37	Wang2024	716	773	100.0	58	4	RNA37	RNA37/38	712	795	58	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA38	Wang2024	239	254	87.5	16	1	RNA3	RNA3	184	274	16	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA5	Wang2024	1491	1523	100.0	33	0	RNA5_F	RNA5	1449	1531	33	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA5	Wang2024	1491	1523	100.0	33	0	RNA5_1	RNA5	1492	1531	32	96.96969696969697	molecule1_SR*Fp*NAPIKpKO*
RNA6	Wang2024	441	495	100.0	55	4	RNA6	RNA6	438	496	55	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA7	Wang2024	870	948	100.0	79	12	RNA7	RNA7	869	948	79	100.0	molecule1_SR*Fp*NAPIKpKO*
RNA8	Wang2024	884	975	100.0	92	0	RNA8_F	RNA8	869	975	92	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA8	Wang2024	884	975	100.0	92	0	RNA8_1	RNA8	869	909	26	28.26086956521739	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA8	Wang2024	884	975	100.0	92	0	RNA8_2	RNA8	959	975	17	18.478260869565215	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
RNA9	Wang2024	954	989	100.0	36	0	RNA9	RNA9	950	1024	36	100.0	molecule1_SR*Fp*NAPIKpKO*
SSU-1	Shikha2025	1449	1531	100.0	83	8	RNA5_F	RNA5	1449	1531	83	100.0	molecule1_SR*Fp*NAPIKpKO*
SSU-1	Shikha2025	1449	1531	100.0	83	8	RNA5_1	RNA5	1492	1531	40	48.19277108433735	molecule1_SR*Fp*NAPIKpKO*
SSU-10	Shikha2025	884	975	100.0	92	1	RNA8_F	RNA8	869	975	92	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSU-10	Shikha2025	884	975	100.0	92	1	RNA8_1	RNA8	869	909	26	28.26086956521739	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSU-10	Shikha2025	884	975	100.0	92	1	RNA8_2	RNA8	959	975	17	18.478260869565215	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSU-11	Shikha2025	1284	1402	95.0	119	1	SSUB	SSUB	1281	1402	119	100.0	molecule1_SR*Fp*NAPIKpKO*
SSU-12	Shikha2025	850	876	100.0	27	1	RNA18	RNA18	850	880	27	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSU-13	Shikha2025	950	1024	100.0	75	0	RNA9	RNA9	950	1024	75	100.0	molecule1_SR*Fp*NAPIKpKO*
SSU-16	Shikha2025	1419	1448	86.7	30	7	RNA30	RNA30	1418	1448	30	100.0	molecule2_JEATVDKpUB*
SSU-17	Shikha2025	1109	1164	100.0	56	0	SSUD	SSUD	1109	1180	56	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSU-18	Shikha2025	1045	1077	100.0	33	1	SSUE_F	SSUE	1044	1092	33	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSU-18	Shikha2025	1045	1077	100.0	33	1	SSUE_2	SSUE	1044	1062	18	54.54545454545454	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSU-18	Shikha2025	1045	1077	100.0	33	1	SSUE_1	SSUE	1062	1092	16	48.484848484848484	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSU-2	Shikha2025	1608	1633	100.0	26	2	RNA15_F	RNA15	1606	1634	26	100.0	molecule2_JEATVDKpUB*
SSU-2	Shikha2025	1608	1633	100.0	26	2	RNA15_1	RNA15	1612	1632	21	80.76923076923077	molecule2_JEATVDKpUB*
SSU-20	Shikha2025	1588	1603	100.0	16	5	RNA13	RNA13	1573	1606	16	100.0	molecule2_JEATVDKpUB*
SSU-21	Shikha2025	1033	1080	100.0	48	6	SSUF_F	SSUF	1026	1080	48	100.0	molecule1_SR*Fp*NAPIKpKO*
SSU-21	Shikha2025	1033	1080	100.0	48	6	SSUF_1	SSUF	1051	1080	30	62.5	molecule1_SR*Fp*NAPIKpKO*
SSU-21	Shikha2025	1033	1080	100.0	48	6	SSUF_2	SSUF	1026	1058	26	54.166666666666664	molecule1_SR*Fp*NAPIKpKO*
SSU-4	Shikha2025	1230	1276	100.0	47	0	RNA17	RNA17	1236	1276	41	87.2340425531915	molecule1_SR*Fp*NAPIKpKO*
SSU-5	Shikha2025	492	548	100.0	57	16	RNA34_F	RNA34	489	560	57	100.0	molecule1_SR*Fp*NAPIKpKO*
SSU-5	Shikha2025	492	548	100.0	57	16	RNA34_1	RNA34	506	560	43	75.43859649122807	molecule1_SR*Fp*NAPIKpKO*
SSU-6	Shikha2025	1799	1912	100.0	114	0	SSUA	SSUA	1799	1911	113	99.12280701754386	molecule2_JEATVDKpUB*
SSU-7	Shikha2025	74	99	100.0	26	0	RNA19	RNA19	74	107	26	100.0	molecule2_JEATVDKpUB*
SSU-8	Shikha2025	1608	1624	100.0	17	8	RNA15_F	RNA15	1606	1634	17	100.0	molecule2_JEATVDKpUB*
SSU-8	Shikha2025	1608	1624	100.0	17	8	RNA15_1	RNA15	1612	1632	13	76.47058823529412	molecule2_JEATVDKpUB*
SSU-X	Shikha2025	449	469	81.0	21	0	LSUDE	LSUDE	234	515	21	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSUA	Wang2024	1799	1912	100.0	114	0	SSUA	SSUA	1799	1911	113	99.12280701754386	molecule2_JEATVDKpUB*
SSUB	Wang2024	1286	1379	98.9	94	1	SSUB	SSUB	1281	1402	94	100.0	molecule1_SR*Fp*NAPIKpKO*
SSUD	Wang2024	1110	1164	100.0	55	0	SSUD	SSUD	1109	1180	55	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSUE	Wang2024	1045	1073	100.0	29	1	SSUE_F	SSUE	1044	1092	29	100.0	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSUE	Wang2024	1045	1073	100.0	29	1	SSUE_2	SSUE	1044	1062	18	62.06896551724138	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSUE	Wang2024	1045	1073	100.0	29	1	SSUE_1	SSUE	1062	1092	12	41.37931034482759	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*
SSUF	Wang2024	1034	1080	100.0	47	5	SSUF_F	SSUF	1026	1080	47	100.0	molecule1_SR*Fp*NAPIKpKO*
SSUF	Wang2024	1034	1080	100.0	47	5	SSUF_1	SSUF	1051	1080	30	63.829787234042556	molecule1_SR*Fp*NAPIKpKO*
SSUF	Wang2024	1034	1080	100.0	47	5	SSUF_2	SSUF	1026	1058	25	53.191489361702125	molecule1_SR*Fp*NAPIKpKO*
